,Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
0,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,90,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
1,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,86,0.0852,0.897,145543,0.662,0.0,1,0.534,-6.903,0,0.292,112.511,4,0.389
2,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,89,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446
3,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
4,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,86,0.145,0.759,268434,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74
5,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,86,0.0153,0.581,189487,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,0.434
6,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,86,0.544,0.515,209274,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,4,0.284
7,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,86,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
8,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,90,0.934,0.351,200186,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,0.12
9,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,89,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
