Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
G Herbo,My Bro's a Legend,0afRXmECMzKR1tsiGSUW6g,50,0.133,0.831,157798,0.842,0.0,11,0.137,-4.818,0,0.286,149.993,4,0.381
Fat Joe,Lord Above,7q0VdsXafFQIYfk3eZpwTq,62,0.198,0.511,294775,0.719,0.0,5,0.545,-6.261,1,0.117,77.481,4,0.61
CNCO,bad guy - Recorded at Electric Lady Studios NYC,66wi6NRfwsula1n68bJEod,58,0.172,0.869,167908,0.631,8.85e-06,7,0.0671,-5.985,0,0.0518,135.027,4,0.646
Tate McRae,stupid,4k3uABcX9iaGlt5pRJhumi,56,0.0692,0.673,172916,0.579,8.61e-05,0,0.186,-6.029,0,0.0392,96.009,4,0.262
Yoshi Flower,More,3r9fvtguSpPuZc8ARRwQTJ,45,0.0329,0.705,145535,0.574,1.68e-06,11,0.132,-5.275,0,0.0313,102.971,4,0.749
Jake Scott,Lie,5FwrHeGV5gdL5ZJcQjW5qI,48,0.72,0.55,182690,0.176,0.0,9,0.251,-12.115,1,0.0619,82.78,4,0.177
Twin Atlantic,Barcelona,0nOLvRmUDmpX5VHUtq71Ck,48,0.000168,0.561,275960,0.789,0.0,10,0.106,-5.297,1,0.0401,96.994,4,0.149
Alanis Morissette,Reasons I Drink,0bkwdUzmVHq5xEySXuaoY5,49,0.0106,0.56,218133,0.661,0.0,6,0.0921,-5.472,1,0.0295,89.99,4,0.492
Yola,I Don't Wanna Lie,6CgsttSWDA2sISZQp1upXK,39,0.3,0.562,181535,0.821,0.0,5,0.519,-5.082,1,0.0277,105.512,4,0.893
Carly Pearce,It Won’t Always Be Like This,1DCkyoe9EfvqD0YDfl2qMI,48,0.393,0.551,224404,0.5,0.0,7,0.112,-6.434,1,0.0282,135.893,4,0.173
Matoma,Keep It Simple (feat. Wilder Woods),58fGC7ZRlPhW1J7kLx1goK,58,0.0142,0.629,191579,0.82,4.34e-05,1,0.039,-5.651,1,0.0543,113.95,4,0.329
Martin Solveig,Juliet & Romeo,1CRy08G60mS5jvhB27xMpS,60,0.0416,0.712,204514,0.664,0.000104,11,0.0668,-8.026,1,0.0345,122.014,4,0.781
Max B,Champagne Wishes (feat. A$AP Ferg),5ao30zLdcTqygYw3LcuvWo,44,0.0678,0.577,184000,0.699,0.0,2,0.231,-6.183,1,0.164,150.013,4,0.587
Rico Nasty,Hard,1VbUG8x9XUCLipOVohGgU0,48,0.018,0.906,156771,0.588,0.0,1,0.113,-4.643,1,0.35,136.008,4,0.324
Pop Smoke,Drive The Boat,4m2KzbRNBgL53fGzfCEPA0,49,0.266,0.769,161627,0.636,3.4e-06,6,0.0727,-7.694,0,0.23,143.058,4,0.368
clear eyes,Let Me Know,6cGLY5DlxOEWTnqptMNDSn,60,0.424,0.753,212631,0.379,0.00149,7,0.0708,-8.808,0,0.127,87.028,4,0.301
Destiny Rogers,Euphoria,0HUeFoQFiMUPKxFApxyPwL,48,0.179,0.659,196749,0.69,1.99e-05,0,0.208,-8.315,0,0.0617,159.989,4,0.646
